code,name,tech,system,capacity_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
3294,EOLBA051595,Wind,NORDESTE,63.0,-11.048367,-41.305555,plant,siga:Operação,EOL.CV.BA.051595-7.1,"Morro do Chapéu - BA, Várzea Nova - BA",VSTG14EOL034
3295,EOLRN051587,Wind,NORDESTE,4.5,-12.757722,-42.026222,plant,siga:Operação,EOL.CV.RN.051587-6.2,"São José do Campestre - RN, Serra de São Bento - RN",UMARI2EOL034
3296,ENE128549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3297,ENE129549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3298,ENE130549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3299,ENE131549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3300,ENE132549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3301,ENE133549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3302,ENE134549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3303,ENE135549,Wind,NORDESTE,17.9737,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3304,ENE136549,Wind,NORDESTE,26.9606,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3305,ENE137549,Wind,NORDESTE,26.9606,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3306,ENE138549,Wind,NORDESTE,26.9606,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3307,ENE139549,Wind,NORDESTE,26.9606,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3308,ENE228549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3309,ENE229549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3310,ENE230549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3311,ENE231549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3312,ENE232549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3313,ENE233549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3314,ENE234549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
3315,ENE235549,Wind,NORDESTE,31.454,-8.880000,-36.400000,bus-proxy,bus:GARANH-PE500,,,GARANH-PE500
