code,name,system,cap_MW,lat,lon,confidence,source,cod_ceg,municipio,bus
916,RSSU-7235,SUL,1066.3,-23.911295,-53.323555,bus-proxy-interp,bus:UMUARA-PR138,,,UMUARA-PR138
917,RSSU-6931,SUL,1066.3,-25.704171,-53.048260,bus-proxy-interp,bus:2VIZIN-PR138,,,2VIZIN-PR138
918,RSSU-7079,SUL,1066.3,-25.162935,-54.182171,bus-proxy-interp,bus:MEDIAN-PR138,,,MEDIAN-PR138
52,CAMPINA GDE,NORDESTE,0.0,-7.230000,-35.890000,bus-proxy,bus:CGRD--UTE013,,,CGRD--UTE013
57,MARACANAU I,NORDESTE,0.0,-3.873010,-38.616535,plant,siga-name,UTE.PE.CE.029654-6.1,Maracanaú - CE,MARAC1UTE013
98,PERNAMBU_III,NORDESTE,200.79,-7.860000,-35.010000,bus-proxy,bus:PERNA3UTE013,,,PERNA3UTE013
144,PETROLINA  2,NORDESTE,0.0,-9.397376,-40.499999,plant,siga-token,UTE.PE.PE.028584-6.1,Petrolina - PE,PETROLUTE013
235,CAMACARI MII,NORDESTE,144.45,-12.687227,-38.352569,plant,siga-token,UTE.GN.BA.000602-5.1,Camaçari - BA,CAMAC4-BA230
162,PECEM II,NORDESTE,144.45,-7.858444,-35.015972,plant,siga-name,UTE.PE.PE.031303-3.2,Igarassu - PE,PECEM2-CE230
152,TERMOCABO  2,NORDESTE,0.0,-8.268915,-35.024545,plant,siga-token,UTE.GN.PE.028326-6.1,Cabo de Santo Agostinho - PE,CABO--UTE013
67,TERMONE    2,NORDESTE,0.0,-7.160000,-34.860000,bus-proxy,bus:TERMNEUTE013,,,TERMNEUTE013
69,TERMOPB    1,NORDESTE,0.0,-7.210000,-34.920000,bus-proxy,bus:TERMPBUTE013,,,TERMPBUTE013
167,P. PECEM I,NORDESTE,720.28,-3.550000,-38.810000,bus-proxy,bus:PPECE1UTE020,,,PPECE1UTE020
163,P. PECEM II,NORDESTE,365.0,-3.590000,-38.870000,bus-proxy,bus:PPECE2UTE020,,,PPECE2UTE020
224,P. SERGIPE I,NORDESTE,1593.0,-10.815646,-36.937062,siga-fuzzy,siga-fuzzy,UTE.GN.SE.032228-8.1,Barra dos Coqueiros - SE,
106,ERB CANDEIAS,NORDESTE,12.9024,-12.767464,-38.481508,plant,siga-name,UTE.FL.BA.030979-6.1,Candeias - BA,CANDEIUTE014
53,GLOBAL I,NORDESTE,148.8,-12.730210,-38.481217,plant,siga-name,UTE.PE.BA.029653-8.1,Candeias - BA,GLOB1-UTE013
55,GLOBAL II,NORDESTE,148.8,-12.729994,-38.482121,plant,siga-name,UTE.PE.BA.029639-2.1,Candeias - BA,GLOB2-UTE013
151,POTIGUAR,NORDESTE,45.5398,-5.870621,-35.293312,plant,siga-name,UTE.PE.RN.028655-9.1,Macaíba - RN,POTI1-UTE013
161,POTIGUAR III,NORDESTE,48.5118,-5.868810,-35.304648,plant,siga-name,UTE.PE.RN.029556-6.1,Macaíba - RN,POTI3-UTE013
223,PROSPERI III,NORDESTE,56.0,-12.500000,-38.210000,bus-proxy,bus:PROSP3UTE013,,,PROSP3UTE013
241,PROSPERID II,NORDESTE,37.4,-12.500000,-38.210000,bus-proxy,bus:PRO2E4UTE013,,,PRO2E4UTE013
147,PROSPERIDADE,NORDESTE,28.02,-12.500000,-38.210000,bus-proxy,bus:PROSP1UTE013,,,PROSP1UTE013
96,TERMOPE,NORDESTE,550.0,-8.399066,-34.956924,plant,siga-token,UTE.GN.PE.028031-3.1,Ipojuca - PE,
43,TERMOBAHIA 1,NORDESTE,158.945,-12.700000,-38.570000,bus-proxy,bus:CFURTAUTE013,,,CFURTAUTE013
58,TERMOCEARA 2,NORDESTE,0.0,-3.692500,-38.871667,plant,siga-token,UTE.GN.CE.028358-4.1,Caucaia - CE,TERCEGUTE013
83,VALE DO ACU2,NORDESTE,92.4,-20.598050,-49.190005,plant,siga-token,UTE.AI.SP.029678-3.1,Onda Verde - SP,VDOACUUTE013
170,SUAPE II   2,NORDESTE,381.26,-8.351993,-35.022973,plant,siga-token,UTE.PE.PE.029719-4.1,Cabo de Santo Agostinho - PE,
762,TERMOBAHIA 2,NORDESTE,185.9,-12.700000,-38.570000,bus-proxy,bus:CFURTAUTE013,,,CFURTAUTE013
763,TERMOCEARA 1,NORDESTE,223.0,-3.692500,-38.871667,plant,siga-token,UTE.GN.CE.028358-4.1,Caucaia - CE,TERCEGUTE013
767,VALE DO ACU1,NORDESTE,110.0,-20.598050,-49.190005,plant,siga-token,UTE.AI.SP.029678-3.1,Onda Verde - SP,VDOACUUTE013
793,TERMONE    1,NORDESTE,170.85,-7.160000,-34.860000,bus-proxy,bus:TERMNEUTE013,,,TERMNEUTE013
794,TERMOPB    2,NORDESTE,170.85,-7.210000,-34.920000,bus-proxy,bus:TERMPBUTE013,,,TERMPBUTE013
796,PETROLINA  1,NORDESTE,136.2,-9.397376,-40.499999,plant,siga-token,UTE.PE.PE.028584-6.1,Petrolina - PE,PETROLUTE013
