code,name,lat,lon,confidence,source
81691,ZACA4-EOL034,-7.560000,-40.670000,case-existing,case-existing
81692,ARAT22-PI013,-7.750234,-40.655685,interpolated,topology-interp
81693,ARA4---PI500,-7.870372,-40.652005,interpolated,topology-interp
81694,ARA4-1-PI034,-7.720370,-40.679976,interpolated,topology-interp
81695,ZACA1-EOL034,-7.690000,-40.690000,case-existing,case-existing
81697,ARA4-2-PI034,-7.679544,-40.669131,interpolated,topology-interp
81698,ARAT11-PI013,-7.756743,-40.665742,interpolated,topology-interp
81699,ARAT12-PI013,-7.779144,-40.663726,interpolated,topology-interp
81700,ARAT11-PI000,-7.800009,-40.661897,interpolated,topology-interp
81701,ARAT12-PI000,-7.750350,-40.670001,interpolated,topology-interp
81702,ARAT13-PI000,-7.729216,-40.668255,interpolated,topology-interp
81703,ARAT14-PI000,-7.754726,-40.665928,interpolated,topology-interp
81704,ARAT15-PI000,-7.779840,-40.663683,interpolated,topology-interp
81705,ARA4-3-PI034,-7.677503,-40.652618,interpolated,topology-interp
81706,ARA4-4-PI034,-7.623164,-40.664476,interpolated,topology-interp
81707,ARAT21-PI013,-7.720975,-40.657164,interpolated,topology-interp
81708,ARAT21-PI000,-7.778461,-40.654311,interpolated,topology-interp
81709,ARAT22-PI000,-7.714623,-40.655260,interpolated,topology-interp
81710,ARAT23-PI000,-7.686602,-40.658947,interpolated,topology-interp
81711,ARAT24-PI000,-7.718818,-40.657282,interpolated,topology-interp
81712,ARAT25-PI000,-7.751155,-40.655646,interpolated,topology-interp
81713,ZACA2-EOL034,-7.630000,-40.670000,case-existing,case-existing
81714,EDWIGE-PI034,-7.332544,-40.553481,interpolated,topology-interp
81715,SBASIL-PI230,-7.397632,-40.580444,reference-psrbus,reference-psrbus
81717,EDWIGEEOL034,-7.300000,-40.540000,case-existing,case-existing
81719,SBASIL-PI138,-7.397632,-40.580444,reference-psrbus,reference-psrbus
81720,VPIII2-PI013,-8.005177,-40.578017,interpolated,topology-interp
81721,ARA3---PI230,-7.897971,-40.652405,interpolated,topology-interp
81722,ARA3-C-PI034,-7.782571,-40.671286,interpolated,topology-interp
81723,ARA3-D-PI034,-7.790801,-40.695127,interpolated,topology-interp
81724,ARA3-B-PI034,-7.768298,-40.655601,interpolated,topology-interp
81725,ARA3-A-PI034,-7.783298,-40.645601,interpolated,topology-interp
81726,AR3T11-PI000,-7.848525,-40.666077,interpolated,topology-interp
81727,ARA3T2-PI000,-7.816961,-40.651221,interpolated,topology-interp
81728,ARA3C-EOL034,-7.750000,-40.670000,case-existing,case-existing
81729,ARA3D-EOL034,-7.770000,-40.710000,case-existing,case-existing
81730,ARA3B-EOL034,-7.720000,-40.660000,case-existing,case-existing
81731,ARA3A-EOL034,-7.750000,-40.640000,case-existing,case-existing
81732,VERONI-PI138,-7.374579,-40.578266,interpolated,topology-interp
81733,VERONI-PI034,-7.351526,-40.576089,interpolated,topology-interp
81734,VPII1--PI013,-8.033833,-40.686853,interpolated,topology-interp
81735,VERONIEOL034,-7.340000,-40.590000,case-existing,case-existing
